Produkt;Firma;Pytanie ;Stopień trudności pytania;Odpowiedź moja;OWU krótkie;OWU pełne;Uwagi
AUTO;PZU;Ile mam czasu na zgłoszenie szkody z ubezpieczenia Autocasco samochodu z PZU Auto?;Bardzo proste;Na zgłoszenie szkody z ubezpieczenia Autocasco szkodę powinno się zgłoś jak najszybciej, ale nie później niż 7 dni od daty szkody lub 1 dzień, jeżeli przyczyną szkody jest kradzież lub wandalizm. W takim przypadku musisz powiadomić policję do 12 godzin;https://www.pzu.pl/dla-ciebie-i-rodziny/majatek-podroze-oc/pojazdy/pzu-auto-ac#pytania-i-odpowiedzi;"Ile mam czasu na zgłoszenie szkody z ubezpieczenia samochodu? z ubezpieczenia odpowiedzialności cywilnej (OC) szkodę zgłoś jak najszybciej z ubezpieczenia autocasco (AC) szkodę zgłoś jak najszybciej, ale nie później niż: 7 dni od daty szkody lub 1 dzień, jeżeli przyczyną szkody jest kradzież lub wandalizm. W takim przypadku musisz powiadomić policję do 12 godzin";
MIESZKANIE;HESTIA;Czy każdy dom mogę ubezpieczyć w wartości odtworzeniowej z HESTIA Ergo7 Pozakomunikacyjne?;Proste;Nie, w wartości odtworzeniowej mogę ubezpieczyć tylko dom, którego wiek nie przekracza 50 lat lub w ostatnich 50 latach zarówno jego dach, jak i elewacja zostały wymienione lub przeszły generalny remont;§ 24 ust. 1 pkt 4 lit. a;"§ 24 ust. 1. Klient podaje sumę ubezpieczenia, którą określa na podstawie: pkt 4) wartości odtworzeniowej – dla: lit. a) domu, którego wiek nie przekracza 50 lat lub w ostatnich 50 latach zarówno jego dach, jak i elewacja zostały wymienione lub przeszły generalny remont; w innym przypadku Klient określa sumę ubezpieczenia dla domu według wartości rzeczywistej";
MIESZKANIE;HESTIA;Czy jest odpowiedzialność za usługi naprawy dla sprzętu AGD/RTV/PC mającego ponad 7 lat z HESTIA Ergo7 Pozakomunikacyjne?;Proste;Nie, usługi naprawy są świadczone dla sprzętu AGD/RTV/PC, który w chwili szkody miał maksymalnie 7 lat licząc od daty zakupu jako fabrycznie nowy;§ 4 ust. 1 Tabela 1;§ 4 ust. 1.  Ubezpieczenie Mienia obejmuje jego utratę, zniszczenie lub uszkodzenie, w bezpośrednim następstwie zdarzenia, które wystąpiło nagle, nieprzewidzianie i niezależnie od woli Ubezpieczonego, a ponadto miało charakter losowy i niepewny. Klient wybiera przedmioty ubezpieczenia i zakres ochrony ubezpieczeniowej spośród wariantów z tabeli 1 lub 2: Tabela 1 Nagłówek RODZAJ USŁUGI - Wiersz - Naprawa lub transport sprzętu AGD / RTV / PC Kolumna - ZAKRES USŁUGI;
MIESZKANIE;HESTIA;Czy Ubezpieczyciel w ubezpieczeniu odpowiedzialności cywilnej odpowiada za szkody w postaci czystych strat finansowych z HESTIA Ergo7 Pozakomunikacyjne?;Proste;Nie, szkody polegające na czystych stratach finansowych są wyłaczone z odpowiedzialności;§9 ust. 1 pkt 8;§ 9 ust. 1. Ubezpieczenie Odpowiedzialności Cywilnej w Życiu Prywatnym nie obejmuje szkód: pkt 8) w postaci czystych strat finansowych;
MIESZKANIE;HESTIA;Czy ochroną objęte są pęknięcia mrozowe z HESTIA Ergo7 Pozakomunikacyjne?;Złożone;Tak ochroną objęte są szkody powstałe w wyniku pękania mrozowego w domu, mieszkaniu lub budynku gospodarczym do 10% sumy ubezpieczenia ale tylko w wWariancie III;§ 6 ust. 1 pkt 13 § 7 ust. 1 pkt 5;"§ 6 ust. 1. Ubezpieczenie Mienia nie obejmuje szkód: pkt 13) które zostały wywołane mrozem; wyłączenia nie stosuje się do pękania mrozowego w Ubezpieczeniu Mienia w Wariancie III § 7 ust. 1. ERGO Hestia w Ubezpieczeniu Mienia odpowiada do wysokości: pkt 5) 10% sumy ubezpieczenia odpowiednio domu, mieszkania lub budynku gospodarczego za szkody powstałe w wyniku pękania mrozowego";
MIESZKANIE;HESTIA;Czy jest odpowiedzialność za szkody powstałe na skutek użytkowania przedmiotu ubezpieczenia niezgodnie z przeznaczeniem z HESTIA Ergo7 Pozakomunikacyjne?;Złożone;Tak nie ma odpowiedzialności za szkody powstałe na skutek użytkowania przedmiotu ubezpieczenia niezgodnie z przeznaczeniem chyba, że są także szkody powstałe w następstwie pozostawienia: podłączonych do sieci elektrycznej urządzeń grzewczych, żelazek, urządzeń służących do pielęgnacji i układania włosów, podgrzewaczy do żywności albo płynów, oświetlenia choinkowego oraz ładowarek telefonów komórkowych, zegarków typu smartwatch, tabletów, laptopów, drukarek, czytników e-booków, naczyń służących do podgrzewania żywności i płynów na uruchomionej płycie grzewczej, wolnym ogniu albo palniku, ognia w palenisku kominka albo kozy, niezamkniętych otworów okiennych (nie dotyczy Ubezpieczenia Mienia od Kradzieży);§ 6 ust. 1 pkt 7 § 4 ust. 20;"§ 6 ust. 1. Ubezpieczenie Mienia nie obejmuje szkód: pkt 7) które powstały na skutek użytkowania przedmiotu ubezpieczenia niezgodnie z przeznaczeniem, z zastrzeżeniem § 4 ust. 20 § 4 ust. 20. W Ubezpieczeniu Mienia ochroną objęte są także szkody powstałe w następstwie pozostawienia: a) podłączonych do sieci elektrycznej urządzeń grzewczych, żelazek, urządzeń służących do pielęgnacji i układania włosów, podgrzewaczy do żywności albo płynów, oświetlenia choinkowego oraz ładowarek telefonów komórkowych, zegarków typu smartwatch, tabletów, laptopów, drukarek, czytników e-booków b) naczyń służących do podgrzewania żywności i płynów na uruchomionej płycie grzewczej, wolnym ogniu albo palniku c) ognia w palenisku kominka albo kozy d) niezamkniętych otworów okiennych (nie dotyczy Ubezpieczenia Mienia od Kradzieży) d) niezamkniętych otworów okiennych (nie dotyczy Ubezpieczenia Mienia od Kradzieży). ";
MIESZKANIE;HESTIA;Czy szkody wywołane uderzeniem pioruna są objete ochroną z HESTIA Ergo7 Pozakomunikacyjne? ;Złożone;Tak szkody wywowłane uderzeniem pioruna są objete ochroną czyli uderzenie pioruna jak i przepięcie spowodowane uderzeniem pioruna;§ 2 Tabela - Wiersz - Zdarzenia losowe § 4 ust. 1 Tabela 1 Nagłówek - ZAKRES UBEZPIECZENIA - Wiersz - Ubezpieczenie Mienia od Ognia i Zdarzeń Losowych – przyczyny zdarzeń;"§ 2 W tym dokumencie ERGO Hestia używa niektórych pojęć w szczególnym znaczeniu. Pojęcia użyte w tym dokumencie przyjmują znaczenie zgodne z poniższymi definicjami, ujętymi w porządku alfabetycznym: Tabela - Wiersz - Zdarzenia losowe § 4 ust. 1.  Ubezpieczenie Mienia obejmuje jego utratę, zniszczenie lub uszkodzenie, w bezpośrednim następstwie  zdarzenia, które wystąpiło nagle, nieprzewidzianie i niezależnie od woli Ubezpieczonego, a ponadto miało charakter losowy i niepewny. Klient wybiera przedmioty ubezpieczenia i zakres ochrony ubezpieczeniowej spośród wariantów z tabeli 1 lub 2: Tabela 1 Nagłówek - ZAKRES UBEZPIECZENIA - Wiersz - Ubezpieczenie Mienia od Ognia i Zdarzeń Losowych – przyczyny zdarzeń";
MIESZKANIE;HESTIA;Czy w ubezpieczeniu mienia są jakieś limity odpowiedzialności z HESTIA Ergo7 Pozakomunikacyjne?;Bardzo Złożone;Tak, w ubezpioeczeniu Mienia występują limity odpowiedzialności dla określonych grup mienia lub zadrzeń, są to ograniczenia kwotowe lub procentowa. § 7 ust. 1. W Ubezpieczeniu Mienia Ubezpieczyciel odpowiada do wysokości: 1) 10 000 zł dla łącznie wszystkich roślin ogrodowych ubezpieczanych w ramach architektury ogrodu 2) 10% sumy ubezpieczenia domu lub mieszkania dla kosztów poszukiwania przyczyny szkody, nie więcej jednak niż 50 000 zł 3) 1000 zł dla kosztów wymiany zabezpieczeń w razie utraty kluczy służących do ich otwarcia 4) 30% sumy ubezpieczenia dla poszczególnych przedmiotów ubezpieczenia w Ubezpieczeniu Mienia od Ognia i Zdarzeń Losowych za mienie przechowywane w pomieszczeniach przynależnych 5) 10% sumy ubezpieczenia odpowiednio domu, mieszkania lub budynku gospodarczego za szkody powstałe w wyniku pękania mrozowego 6) 10% sumy ubezpieczenia rzeczy osobistych dla gotówki, nie więcej jednak niż 10 000 zł 7) 50% sumy ubezpieczenia rzeczy osobistych za biżuterię, wyroby ze złota, srebra, kamieni szlachetnych i pereł, a także z platyny i pozostałych metali z grupy platynowców 8) 20% sumy ubezpieczenia domu w budowie w Ubezpieczeniu Mienia od Kradzieży za materiały, surowce i półfabrykaty, które służą do realizacji budowy 9) 500 zł dla trofeów łowieckich 10) 4000 zł dla stacjonarnych stacji ładowania pojazdów elektrycznych i ich elementów 11) 100% sumy ubezpieczenia dla poszczególnych przedmiotów ubezpieczenia w Ubezpieczeniu Mienia od Kradzieży za mienie przechowywane w pomieszczeniach przynależnych 12) 10% SU poszczególnych przedmiotów bezpieczenia, za szkody wyrządzone przez zwierzęta inne niż zwierzęta domowe, nie więcej jednak niż 30 000 zł, przy czym dla przedmiotu ubezpieczenia dom lub mieszkanie z SU powyżej 5 000 000 zł limitu kwotowego nie stosuje się 13) 100% SU domu lub mieszkania oraz do 100% SU wyposażenia i rzeczy osobistych w przypadku utraty nieruchomości wskutek decyzji administracyjnej o rozbiórce, gdy nie był możliwy dostęp do miejsca ubezpieczenia po szkodzie lub do 50% SU wyposażenia i rzeczy osobistych, gdy możliwy był dostęp do miejsca ubezpieczenia po szkodzie. Jeżeli Ubezpieczyciel zgodnie z umową ubezpieczenia ponosi odpowiedzialność za powstałą szkodę, w granicach sum ubezpieczenia poszczególnych przedmiotów ubezpieczenia, odszkodowanie obejmuje również koszty usunięcia pozostałości po szkodzie – w granicach do 10% rozmiaru szkody.;§ 7 ust. 1 § 7 ust. 2 pkt 2;§ 7 ust. 1. ERGO Hestia w Ubezpieczeniu Mienia odpowiada do wysokości: 1) 10 000 zł dla łącznie wszystkich roślin ogrodowych ubezpieczanych w ramach architektury ogrodu 2) 10% sumy ubezpieczenia domu lub mieszkania dla kosztów poszukiwania przyczyny szkody, nie więcej jednak niż 50 000 zł 3) 1000 zł dla kosztów wymiany zabezpieczeń w razie utraty kluczy służących do ich otwarcia 4) 30% sumy ubezpieczenia dla poszczególnych przedmiotów ubezpieczenia w Ubezpieczeniu Mienia od Ognia i Zdarzeń Losowych za mienie przechowywane w pomieszczeniach przynależnych 5) 10% sumy ubezpieczenia odpowiednio domu, mieszkania lub budynku gospodarczego za szkody powstałe w wyniku pękania mrozowego 6) 10% sumy ubezpieczenia rzeczy osobistych dla gotówki, nie więcej jednak niż 10 000 zł 7) 50% sumy ubezpieczenia rzeczy osobistych za biżuterię, wyroby ze złota, srebra, kamieni szlachetnych i pereł, a także z platyny i pozostałych metali z grupy platynowców 8) 20% sumy ubezpieczenia domu w budowie w Ubezpieczeniu Mienia od Kradzieży za materiały, surowce i półfabrykaty, które służą do realizacji budowy 9) 500 zł dla trofeów łowieckich 10) 4000 zł dla stacjonarnych stacji ładowania pojazdów elektrycznych i ich elementów 11) 100% sumy ubezpieczenia dla poszczególnych przedmiotów ubezpieczenia w Ubezpieczeniu Mienia od Kradzieży za mienie przechowywane w pomieszczeniach przynależnych 12) 10% SU poszczególnych przedmiotów bezpieczenia, za szkody wyrządzone przez zwierzęta inne niż zwierzęta domowe, nie więcej jednak niż 30 000 zł, przy czym dla przedmiotu ubezpieczenia dom lub mieszkanie z SU powyżej 5 000 000 zł limitu kwotowego nie stosuje się 13) 100% SU domu lub mieszkania oraz do 100% SU wyposażenia i rzeczy osobistych w przypadku utraty nieruchomości wskutek decyzji administracyjnej o rozbiórce, gdy nie był możliwy dostęp do miejsca ubezpieczenia po szkodzie lub do 50% SU wyposażenia i rzeczy osobistych, gdy możliwy był dostęp do miejsca ubezpieczenia po szkodzie ust. 2 Jeśli ERGO Hestia zgodnie z umową ubezpieczenia ponosi odpowiedzialność za powstałą szkodę, w granicach sum ubezpieczenia poszczególnych przedmiotów ubezpieczenia, odszkodowanie obejmuje również: pkt 2) koszty usunięcia pozostałości po szkodzie – w granicach do 10% rozmiaru szkody;
MIESZKANIE;HESTIA;Czy Ubezpieczony ponosi jakiś udział własny w szkodzie z HESTIA Ergo7 Pozakomunikacyjne?;Bardzo Złożone;"Tak jest kilka takich przypadków kiedy Ubezpieczający ponosi udział własny w szkodzie kwotowy lub procentowy: - odszkodowanie za szkody w budynku gospodarczym będącym szklarnią (cieplarnią) spowodowane poprzez grad, upadek drzewa oraz napór śniegu pomniejsza się o udział własny w wysokości 500 zł - w Wariancie III odszkodowanie za szkody w rzeczach osobistych lub wyposażeniu, niespowodowane zdarzeniami losowymi, które wyrządził Ubezpieczony, osoby bliskie, zwierzęta domowe, pomniejsza się o udział własny w wysokości 500 zł. Udziału własnego, o którym mowa w zdaniu poprzednim, nie stosuje się w przypadku uszkodzenia: a) szklanych, ceramicznych albo kamiennych elementów: mebli (w tym blatów), piekarnika, kuchenki mikrofalowej, lodówki, okapu b) ceramicznych lub szklanych kuchennych płyt grzewczych c) akwariów lub terrariów d) szklanych elementów oświetleniowych, z wyłączeniem żarówek i świetlówek; e) luster niezamontowanych w sposób trwały - Ubezpieczyciel pomniejszy odszkodowanie o udział własny w wysokości 10%, jeżeli Klient korzysta ze zniżki składki na podstawie zastosowanych zabezpieczeń przeciwkradzieżowych, a zabezpieczenia te w czasie powstania szkody nie były zamontowane, były niesprawne, wcześniej je usunięto lub nie włączono ich z winy umyślnej lub rażącego niedbalstwa Ubezpieczonego. Odszkodowanie wypłaca się jednak w pełnej wysokości, jeżeli wymienione powyżej okoliczności nie wpłynęły na powstanie lub wielkość szkody.";"§ 4 ust. 1 pkt 19 § 6 ust. 3 pkt 2 § 7 ust. 3";"§ 4 ust. 1 Ubezpieczenie Mienia obejmuje jego utratę, zniszczenie lub uszkodzenie, w bezpośrednim następstwie  zdarzenia, które wystąpiło nagle, nieprzewidzianie i niezależnie od woli Ubezpieczonego, a ponadto miało charakter losowy i niepewny. Klient wybiera przedmioty ubezpieczenia i zakres ochrony ubezpieczeniowej spośród wariantów z tabeli 1 lub 2: pkt 19 Odszkodowanie za szkody w budynku gospodarczym będącym szklarnią (cieplarnią) spowodowane poprzez grad, upadek drzewa oraz napór śniegu pomniejsza się o udział własny w wysokości 500 zł § 6 Ubezpieczenie Mienia nie obejmuje szkód: ust. 3 W Wariancie III Ubezpieczenia Mienia: pkt 2) odszkodowanie za szkody w rzeczach osobistych lub wyposażeniu, niespowodowane zdarzeniami losowymi, które wyrządził Ubezpieczony, osoby bliskie, zwierzęta domowe, pomniejsza się o udział własny w wysokości 500 zł. Udziału własnego, o którym mowa w zdaniu poprzednim, nie stosuje się w przypadku uszkodzenia: a) szklanych, ceramicznych albo kamiennych elementów: mebli (w tym blatów), piekarnika, kuchenki mikrofalowej, lodówki, okapu b) ceramicznych lub szklanych kuchennych płyt grzewczych c) akwariów lub terrariów d) szklanych elementów oświetleniowych, z wyłączeniem żarówek i świetlówek e) luster niezamontowanych w sposób trwały § 7 ust. 3 ERGO Hestia pomniejszy odszkodowanie o udział własny w wysokości 10%, jeżeli Klient korzysta ze zniżki składki na podstawie zastosowanych zabezpieczeń przeciwkradzieżowych, a zabezpieczenia te w czasie powstania szkody nie były zamontowane, były niesprawne, wcześniej je usunięto lub nie włączono ich z winy umyślnej lub rażącego niedbalstwa Ubezpieczonego. Odszkodowanie wypłaca się jednak w pełnej wysokości, jeżeli wymienione powyżej okoliczności nie wpłynęły na powstanie lub wielkość szkody";
MIESZKANIE;HESTIA;Czy jest odpowiedzialność za szkody wyrządzone przez najemcę z HESTIA Ergo7 Pozakomunikacyjne?;Bardzo Złożone;W ramach ubezpieczenia odpowiedzialności cywilnej w Życiu Prywatnym nie odpowiedzialności za szkody wyrządzone przez najemcę aby zagwarantowac sobie taką ochronę należy dokupic ubezpieczenie Odpowiedzialność Cywilna Najemcy;§ 9 ust. 1 pkt 6 § 10;§ 9 ust. 1. Ubezpieczenie Odpowiedzialności Cywilnej w Życiu Prywatnym nie obejmuje szkód: pkt 6) które są objęte zakresem Ubezpieczenia Odpowiedzialności Cywilnej Najemcy, o którym mowa w § 10 § 10 Odpowiedzialność Cywilna Najemcy;
MIESZKANIE;HESTIA;Czy mogę ubezpieczyć kosiarkę od kradzieży zwykłej z HESTIA Ergo7 Pozakomunikacyjne?;Bardzo proste;Tak istnieje możliwość ubezpieczenia kosiarki od kradziezy zwykłej ale tylko w wariancie All Risk (od wszystkich ryzyk - Wariant III);https://www.ergohestia.pl/ubezpieczenie-domu-i-mieszkania/mieszkanie/;W wariancie All risk również kradzież zwykłą (bez śladów włamania) obejmującą architekturę ogrodu przynależącego do mieszkania (grilla, mebli ogrodowych, wyposażenia placu zabaw), kosiarki i inne narzędzia służące do skracania trawy oraz zewnętrzne części składowe mieszkania, m.in. kamer, baterii słonecznych, klimatyzatorów, a także: stacjonarnych stacji ładowania pojazdów elektrycznych i ich elementów. ;
MIESZKANIE;WARTA;Czy w ramach ubezpieczenia mieszkania ochroną objęte są przedmioty szklane od stłuczenia z WARIANT Dom?;Proste;Tak zarówno w ubezpieczeniu Warta Dom jak i Warta Dom Komfort istnieje mozliwośc ubezpieczenia przedmiotów szklanych od stłuczenia. W Warta Dom zakres jest węższy niż w Warta Dom Komfort i objęte są ochroną np. szklane drzwi, okna, kuchenne płyty grzewcze (Wariancie Standard). Za opłatą dodatkowej składki można objąć ochroną np. ogniwa fotowoltaiczne, szyby kominkowe, szyby piekarnika w zabudowie (Wariant Komfort) co jest już objęte w Warta Dom Komfort;"OWU Warta Dom - § 2 ust. 51 § 4 ust. 2 OWU Warta Dom Komfort - § 2 ust. 38";"OWU Warta Dom - § 2 Pojęcia użyte w niniejszych OWU mają następujące znaczenie: ust. 51. Stłuczenie – pęknięcie lub rozbicie przedmiotów wskazanych w pkt 1–2 w zależności od wybranego wariantu, w ramach ubezpieczonego domu jednorodzinnego, lokalu mieszkalnego lub jego stałych elementów, garażu, innego budynku. 1) w wariancie Standard – poniższe przedmioty: a) szyby: okienne, drzwiowe, dachowe, oraz stanowiące składową część mebli, b) szklane drzwi: wewnętrzne, kabiny prysznicowej, sauny, lodówki c) kuchenne płyty grzewcze: ceramiczne lub szklane d) wewnętrzne parapety, blaty: ceramiczne, szklane, kamienne lub z konglomeratu, e) szklane lub z tworzywa sztucznego: osłony (obudowy) kabiny prysznicowej oraz parawany nawannowe f) lustra: na stałe wbudowane w ściany lub szafy 2) w wariancie Komfort – powyższe przedmioty oraz dodatkowo: a) szklane zabudowy: balkonów, loggii lub tarasów, ogrodów zimowych, b) okładziny ścian lub słupów: ceramiczne, szklane, kamienne lub z konglomeratu, c) szklane przegrody ścienne, w tym wykonane z luksferów oraz witraże,  d) szyby: kominkowe oraz wbudowanych lub wolnostojących piekarników i kuchenek mikrofalowych, oraz okapów e) akwaria, terraria f) solary, baterie słoneczne, ogniwa fotowoltaiczne g) szklane, ceramiczne, kamienne lub z konglomeratu: umywalki, zlewozmywaki, brodziki wanny, muszle klozetowe, bidety h) szklane balustrady wewnętrzne i zewnętrzne oraz zewnętrzne szklane zadaszenie balkonu, loggii lub tarasu. § 4 ust 2. W ubezpieczeniu w budowie: domu jednorodzinnego, domu letniskowego, garażu, innego budynku – WARTA odpowiada za szkody powstałe w następstwie zdarzeń losowych określonych w ust. 1 pkt 1 lit. a–s ,a także stłuczenie w wariancie Standard OWU Warta Dom Komfort - § 2 Pojęcia użyte w niniejszych OWU mają następujące znaczenie: ust 38. Stłuczenie – pęknięcie lub rozbicie przedmiotów wskazanych poniżej w wariancie Komfort, w ramach ubezpieczonego domu jednorodzinnego, domu letniskowego, garażu, innego budynku, budynku w budowie oraz lokalu mieszkalnego lub jego stałych elementów, takich jak: 1) szyby: okienne, drzwiowe, dachowe oraz stanowiące składową część mebli 2) szklane drzwi: wewnętrzne, kabiny prysznicowej, sauny, lodówki 3) kuchenne płyty grzewcze: ceramiczne lub szklane 4) wewnętrzne parapety, blaty: ceramiczne, szklane, kamienne lub z konglomeratu 5) szklane lub z tworzywa sztucznego: osłony (obudowy) kabiny prysznicowej, parawany nawannowe 6) lustra: na stałe wbudowane w ściany lub szafy 7) szklane zabudowy: balkonów, loggii lub tarasów, ogrodów zimowych 8) okładziny ścian lub słupów: ceramiczne, szklane, kamienne lub z konglomeratu 9) szklane przegrody ścienne, w tym wykonane z luksferów oraz witraże 10) szyby: kominkowe oraz wbudowanych lub wolnostojących piekarników i kuchenek mikrofalowych, oraz okapów 11) akwaria, terraria 12) solary, baterie słoneczne, ogniwa fotowoltaiczne 13) szklane, ceramiczne, kamienne lub z konglomeratu: umywalki, zlewozmywaki, brodziki, wanny, muszle klozetowe, bidety 14) szklane balustrady wewnętrzne i zewnętrzne oraz zewnętrzne szklane zadaszenie balkonu loggii lub tarasu";
MIESZKANIE;WARTA;Czy otrzymam odszkodowanie jeżeli szkody w roślinności ogrodowej nie przekracza w dniu ustalenia odszkodowania 500 zł z WARIANT Dom?;Proste;Nie w ubezpieczeniu Warta Dom Komfort nie są objęte ochroną szkody w roślinności ogrodowej nieprzekraczające w dniu ustalenia odszkodowania 500 zł. W ubezpieczeniu WARTA Dom nie ma możliwości ubezpieczenia roślinności ogrodowej;"OWU Warta Dom - brak mozliwości ubezpieczenia OWU Warta Dom Komfort - § 46 ust. 1 pkt 1";"OWU Warta Dom - brak zapisów OWU Warta Dom Komfort - § 46 ust. 1. Ubezpieczeniem nie są objęte szkody w roślinności ogrodowej pkt 1) nieprzekraczające w dniu ustalenia odszkodowania 500 zł";
MIESZKANIE;WARTA;Mam ubezpieczone mieszkanie, czy mogę ubezpieczyć nagrobek z WARIANT Dom?;Proste;Tak, zarówno w ubezpieczeniu OWU Warta Dom jak i OWU Warta Dom Komfort istnie możliwość ubezpieczenia nagrobka za opłatą dodatkowej składki pod warunkiem ubezpieczenia domu jednorodzinnego lub mieszkania bądź stałych elementów lokalu mieszkalnego lub ruchomości domowych w domu jednorodzinnym, lub lokalu mieszkalnym oraz w trakcie jej trwania;"OWU Warta Dom - § 39 ust. 1 § 39 ust. 2 OWU Warta Dom Komfort - § 40 ust. 1 § 40 ust. 2";"OWU Warta Dom - § 39 ust. 1. Na wniosek Ubezpieczającego i po opłaceniu dodatkowej składki umowa ubezpieczenia mienia może zostać rozszerzona o ubezpieczenie nagrobków ust. 2. Ubezpieczenie nagrobków zawierane jest przy jednoczesnym zawarciu umowy ubezpieczenia domu jednorodzinnego lub lokalu mieszkalnego, posiadających pozwolenie na użytkowanie bądź stałych elementów lokalu mieszkalnego lub ruchomości domowych w domu jednorodzinnym, lub lokalu mieszkalnym oraz w trakcie jej trwania OWU Warta Dom Komfort - § 40 ust. ust. 1 Na wniosek Ubezpieczającego i po opłaceniu dodatkowej składki umowa ubezpieczenia mienia może zostać rozszerzona o ubezpieczenie nagrobków ust. 2. Ubezpieczenie nagrobków zawierane jest przy jednoczesnym zawarciu umowy ubezpieczenia domu jednorodzinnego lub lokalu mieszkalnego bądź stałych elementów lokalu mieszkalnego lub ruchomości domowych w domu jednorodzinnym, lub lokalu mieszkalnym oraz w trakcie jej trwania";
MIESZKANIE;WARTA;Wynajmuję mieszkanie i chciałbym tylko ubezpieczyć moje ruchomości domowe z sumą ubezpieczenia 10 000 zł, czy jest to możliwe z WARIANT Dom?;Złożone;Tak, w ubezpieczeniu Warta Dom jest to możliwe ubezpieczenie ruchomości domowe z sumą ubezpieczenia 10 000 zł - w Warta Dom nie ma określonej minimalnej sumy ubezpieczenia mienia ruchomego, która jest wymagana do zawarcia umowy ubezpieczenia - sumę ubezpieczenia określa Ubezpieczający, odrębnie dla poszczególnych przedmiotów ubezpieczenia i stanowi ona górną granicę odpowiedzialności. Nie, w ubezpieczeniu Warta Dom Komfort nie jest możliwe ubezpieczenie ruchomości domowe z sumą ubezpieczenia 10 000 zł z uwagi na wymóg minimalnej sumy ubezpieczenia dla tej grupy mienia - w Warta Dom Komfort jeżeli przedmiotem ubezpieczenia nie jest dom jednorodzinny, lokal mieszkalny, stałe elementy lokalu ani dom letniskowy, to musi być spełniony warunek wysokości sumy ubezpieczenia łącznie dla ruchomości domowych i ruchomości domowych specjalnych w wysokości co najmniej 40 000 zł;"OWU Warta Dom - § 6 ust 1 OWU Warta Dom Komfort - § 7 ust. 1 ust. 4 ";"OWU Warta Dom - § 6 ust 1. Sumę ubezpieczenia określa Ubezpieczający, odrębnie dla poszczególnych przedmiotów ubezpieczenia, o których mowa w § 3 ust. 1 i stanowi ona górną granicę odpowiedzialności WARTY OWU Warta Dom Komfort - § 7 ust. 1. Sumę ubezpieczenia określa Ubezpieczający, odrębnie dla poszczególnych przedmiotów ubezpieczenia, o których mowa w § 4 ust.1, z zastrzeżeniem ust. 2 – 4 ust. 4. Jeżeli przedmiotem ubezpieczenia nie jest dom jednorodzinny, lokal mieszkalny, stałe elementy lokalu ani dom letniskowy, to musi być spełniony warunek wysokości sumy ubezpieczenia łącznie dla ruchomości domowych i ruchomości domowych specjalnych w wysokości co najmniej 40.000 zł";
MIESZKANIE;WARTA;Czy w ramach małej architektury mogę ubezpieczyć szklarnię z WARIANT Dom?;Złożone;Nie, w ubezpieczeniu Warta Dom nie ma możliwości ubezpieczenia szklarni, szkody w szklarniach są wyłączone z odpowiedzialności. Tak, w ubezpieczeniu Warta Dom Komfort jest możliwość ubezpieczenia szklarni wraz z instalacjami o powierzchni nie przekraczającej 25 m2 każda w ramach Małej architektury;"OWU Warta Dom - § 8 ust. 3 pkt 12 OWU Warta Dom Komfort - § 2 ust. 17 pkt 4 ";"OWU Warta Dom - § 8 ust. 3 WARTA nie odpowiada również za: ust. 12) tunele foliowe, szklarnie  OWU Warta Dom Komfort - § 2 Pojęcia użyte w niniejszych OWU mają następujące znaczenie: ust. 17 Mała architektura – obiekty budowlane wraz z instalacjami, znajdujące się w miejscu ubezpieczenia, do których zalicza się: pkt 4 szklarnie wraz z instalacjami, trwale połączone z gruntem o powierzchni nieprzekraczającej 25 m2 każda";
